model,type,dataset,metric,IoU,areaRng,maxDets,score
yolov5,onnx,validation,AP,0.50:0.95,all,100,0.2377772962028376
yolov5,onnx,validation,AP,0.50,all,100,0.4014108498417468
yolov5,onnx,validation,AR,0.50:0.95,all,100,0.3399628684637906
yolov11,onnx,validation,AP,0.50:0.95,all,100,0.3166962105366119
yolov11,onnx,validation,AP,0.50,all,100,0.46438639938447
yolov11,onnx,validation,AR,0.50:0.95,all,100,0.4239666705899727
fasterRCNN,pytorch,validation,AP,0.50:0.95,all,100,0.154205425421325
fasterRCNN,pytorch,validation,AP,0.50,all,100,0.2597687976310028
fasterRCNN,pytorch,validation,AR,0.50:0.95,all,100,0.1953878779131551
ssd,onnx,validation,AP,0.50:0.95,all,100,0.1855826797536668
ssd,onnx,validation,AP,0.50,all,100,0.2966610541603807
ssd,onnx,validation,AR,0.50:0.95,all,100,0.3027457463882458
yolov5,pytorch,validation,AP,0.50:0.95,all,100,0.2921103289854226
yolov5,pytorch,validation,AP,0.50,all,100,0.4368340773654692
yolov5,pytorch,validation,AR,0.50:0.95,all,100,0.4541616354690921
yolov11,pytorch,validation,AP,0.50:0.95,all,100,0.2857866179296848
yolov11,pytorch,validation,AP,0.50,all,100,0.4185946900026766
yolov11,pytorch,validation,AR,0.50:0.95,all,100,0.4184002113245703
ssd,pytorch,validation,AP,0.50:0.95,all,100,0.1855824620223286
ssd,pytorch,validation,AP,0.50,all,100,0.2966610108402106
ssd,pytorch,validation,AR,0.50:0.95,all,100,0.30274574638824586
