model,framework,timestamp,fps
yolov5,pt,1.2998449802398682,1.1324645879186308e-10
yolov5,pt,5.12295126914978,0.05231348155988331
yolov5,pt,5.702982664108276,0.3866597072103306
yolov5,pt,6.264303207397461,0.6656304209820837
yolov5,pt,6.789296388626099,0.9134616656636183
yolov5,pt,7.321966648101807,1.106236136697612
yolov5,pt,7.85839319229126,1.2578265367394907
yolov5,pt,8.396419048309326,1.3779905761560802
yolov5,pt,8.942298173904419,1.4687739373771267
yolov5,pt,9.492874383926392,1.5382749469366264
yolov5,pt,10.02518916130066,1.6063375000652795
yolov5,pt,10.597824096679688,1.6343326587609865
yolov5,pt,11.160834312438965,1.6626994680775289
yolov5,pt,11.683021068572998,1.7131643091678277
yolov5,pt,12.231343746185303,1.735280176806676
yolov5,pt,12.76589584350586,1.762369151824124
yolov5,pt,13.28307032585144,1.7966120037923576
yolov5,pt,13.804223775863647,1.8210537323806562
yolov5,pt,14.3390474319458,1.8307980227200216
yolov5,pt,14.872384309768677,1.8396359259733706
yolov5,pt,15.480268239974976,1.8007189186462471
yolov5,pt,16.040712594985962,1.797434827073375
yolov5,pt,16.579628705978394,1.809063135298773
yolov5,pt,17.126818895339966,1.8127541373032523
yolov5,pt,17.644407033920288,1.8366109283567633
yolov5,pt,18.189310789108276,1.836326037062289
yolov5,pt,18.74176836013794,1.831079580931025
yolov5,pt,19.25653052330017,1.853392609396427
yolov5,pt,19.755614757537842,1.8834480443921593
yolov5,pt,20.39061427116394,1.8217193066771098
yolov5,pt,20.916035652160645,1.8380223075242046
yolov5,pt,21.44376230239868,1.8494019278537523
yolov5,pt,22.0067617893219,1.834761652878833
yolov5,pt,22.539433479309082,1.8432751181384197
yolov5,pt,23.10297918319702,1.8295158884457916
yolov5,pt,23.65040159225464,1.828961291104848
yolov5,pt,24.217788219451904,1.8156623600317974
yolov5,pt,24.789613485336304,1.8022870812314342
yolov5,pt,25.426880598068237,1.7556698051778676
yolov5,pt,25.956753969192505,1.7819845156534644
yolov5,pt,26.491600036621094,1.7995269797159377
yolov5,pt,26.998093605041504,1.8344933303651807
yolov5,pt,27.535829782485962,1.8395242617212813
yolov5,pt,28.15995478630066,1.792068035497731
yolov5,pt,28.709952354431152,1.7972923998892656
yolov5,pt,29.253978729248047,1.805463154922886
yolov5,pt,29.788679838180542,1.8184112668110708
